content,start,end,group
Alpha (B.1.1.7),2020-12-18,,Variants of Concern (VOC)
Beta (B.1.351),2020-12-18,,Variants of Concern (VOC)
Gamma (P.1),2021-01-11,,Variants of Concern (VOC)
Delta (B.1.617.2),2021-05-11,,Variants of Concern (VOC)
Omicron (B.1.1.529),2021-11-26,,Variants of Concern (VOC)
Lambda (C.37),2021-06-14,,Variants of Interest (VOI)
Mu (B.1.621),2021-08-30,,Variants of Interest (VOI)
(AZ.5),2021-06-02,,Variants Under Monitoring (VUM)
(C.1.2),2021-09-01,,Variants Under Monitoring (VUM)
Kappa (B.1.617.1),2021-09-20,,Variants Under Monitoring (VUM)
Iota (B.1.526),2021-09-20,,Variants Under Monitoring (VUM)
Eta (B.1.525),2021-09-20,,Variants Under Monitoring (VUM)
(B.1.630),2021-10-12,,Variants Under Monitoring (VUM)
(B.1.640),2021-11-22,,Variants Under Monitoring (VUM)
